streak_length,missed_days_last_7,checkin_hour_avg,engagement_freq,days_since_last,goal_age_days,label
47,3,6,0.8605480933643481,1,80,0
51,4,4,0.13843438717729412,1,172,0
31,4,17,0.34986675749747487,0,125,0
45,3,1,0.20410578304334287,9,144,0
20,1,12,0.6852493778901178,12,28,0
41,2,18,0.5451637555312788,9,128,0
22,0,17,0.8012576188671561,2,131,0
10,7,12,0.9140878949289,2,183,0
43,4,21,0.8166789852904462,7,59,0
54,0,17,0.517753761552953,8,153,0
47,0,14,0.624947230766811,4,162,0
45,4,23,0.8426777722958477,9,123,0
23,0,22,0.16453795894973022,10,157,0
9,0,11,0.7573958508040971,9,117,0
50,4,20,0.08890227928386599,13,82,0
47,0,16,0.44818152759320296,7,89,0
4,4,23,0.07336000380523917,4,41,0
40,7,7,0.436266340069771,4,96,0
45,6,15,0.16009476704250136,11,167,0
20,5,23,0.5220810329353598,12,68,0
0,4,10,0.7473748592781924,0,70,0
29,5,5,0.6551022209197701,8,98,0
15,1,8,0.5044832391130486,6,118,0
69,2,8,0.5655596484571884,5,52,0
13,5,7,0.9277069348051894,13,56,0
56,3,6,1.0,3,38,0
19,1,3,0.6805191252837088,8,61,0
15,0,14,0.9235453361568442,15,24,0
35,3,6,0.25047345612988237,10,177,0
50,5,9,0.23386246921334486,0,161,0
67,1,16,0.8036313960667174,11,52,0
33,0,15,0.2833887758310696,0,136,0
33,1,6,0.5431058486087382,10,77,0
52,2,3,0.16475898387510413,1,71,0
14,0,17,1.0,0,56,0
27,4,13,0.6473283829218759,1,65,0
27,6,5,0.14588528854275534,2,145,0
11,3,16,0.15756621216197547,11,5,0
18,3,8,0.957218524369544,6,21,0
13,6,11,0.5834341136068878,11,54,0
16,2,4,0.4469266940026063,10,170,0
29,0,18,0.776547113547574,9,109,0
44,2,16,0.8810848386475746,12,37,0
13,2,18,0.4934614930635258,3,151,0
12,7,7,0.9375230577386684,4,27,0
35,4,9,0.5551142689854486,1,146,0
1,5,15,0.60683246611625,1,71,0
18,0,10,0.4393425763002379,11,168,0
24,1,8,0.10509817630933123,6,48,0
21,2,6,0.16054145653517823,12,100,0
54,0,2,0.19516066843197738,5,58,0
12,1,5,0.5235173894016614,9,178,0
10,0,5,0.5312716607064925,10,157,0
30,5,6,0.47448782241002374,5,70,0
39,7,15,0.43981221002856563,7,82,0
12,6,9,0.45479117522744766,7,186,0
52,3,8,0.4045950063483805,12,48,0
22,2,23,0.831296925298195,6,134,0
12,6,8,0.6543451939733206,2,69,0
47,3,21,0.8585338720570731,14,176,0
35,7,6,1.0,3,33,0
0,0,15,0.9896727913156181,0,107,0
53,0,16,0.31146840321177194,6,137,0
45,2,20,1.0,10,39,0
11,6,20,0.3707198376892339,4,50,0
8,2,17,0.0,6,1,0
23,0,23,0.655587997202308,9,80,0
38,2,4,0.512469885799698,15,154,0
26,0,16,0.3340446654399132,1,177,0
45,1,11,0.5219927039770139,7,144,0
26,0,19,0.7052032612171746,8,175,0
14,2,18,0.15002046343511405,6,40,0
69,2,9,0.49342938449727836,4,165,0
18,5,17,0.12604588676082684,6,111,0
47,3,10,0.8400961398984241,5,61,0
58,3,8,0.822488642656702,11,3,0
51,4,17,0.9294765653099066,3,16,0
69,1,7,0.5176895315276696,6,165,0
47,3,13,0.7137927228298141,8,39,0
26,7,16,0.8386743053359059,3,113,0
22,3,7,0.14202726836491375,10,86,0
13,3,17,0.9050141744154097,13,27,0
31,6,7,0.1445690663522674,1,53,0
45,3,18,0.7577695125801749,7,59,0
13,5,5,0.31910004227665045,6,92,0
54,5,5,0.29681755523497694,0,134,0
32,0,13,0.30154543270033407,8,107,0
32,2,15,0.5530376225523292,12,42,0
33,3,5,0.5883674493729688,0,157,0
27,7,17,1.0,8,111,0
15,1,7,1.0,12,106,0
46,4,7,0.8432347734087299,7,80,0
45,5,12,0.4647645483899131,8,141,0
53,7,13,0.7545306718761258,15,93,0
17,5,10,0.1767106182283144,0,90,0
4,0,14,0.8198764531305494,0,89,0
9,6,11,0.9427551879410274,9,45,0
1,0,19,0.5414772001830128,0,118,0
35,3,9,0.326630557137539,3,175,0
47,3,7,0.540775886530823,0,108,0
51,1,19,0.8097269836809655,14,57,0
14,1,10,0.7573988991065181,13,107,0
21,3,15,0.8359958461396867,1,58,0
7,0,12,0.5668235363867286,0,36,0
39,1,17,0.9328664241688726,2,134,0
32,7,12,0.7985154431071616,0,103,0
40,2,17,0.2659360612259174,6,147,0
18,3,20,0.38392166440569264,12,173,0
30,7,20,0.4460395932671511,11,94,0
54,4,6,0.2185405338683624,0,163,0
8,0,14,0.7353483080039122,8,77,0
2,0,12,1.0,2,114,0
8,1,14,0.7974051838886291,4,88,0
